Category,Product Name,Quanaity,Price,Total Price
Teal,Lamb Tenderloin Nz Fr,13,163.44,2124.72
Mauv,Lettuce - Frisee,13,252.83,3286.79
Blue,Ecolab Crystal Fusion,11,445.19,4897.09
Teal,Tea - Herbal I Love Lemon,3,93.44,280.32
Fuscia,Beef Ground Medium,6,377.46,2264.76
Indigo,Veal - Liver,13,15.29,198.77
Puce,Yams,1,383.24,383.24
Orange,Tea - Camomele,8,405.62,3244.96
Turquoise,"Fish - Base, Bouillion",10,350.1,3501
Indigo,Turnip - White,12,54.88,658.56
Crimson,"Capon - Breast, Double, Wing On",9,235.97,2123.73
Mauv,Wine - Ruffino Chianti,7,34.91,244.37
Orange,"Crab - Claws, 26 - 30",11,73.66,810.26
Yellow,Lid Coffeecup 12oz D9542b,4,195.84,783.36
Fuscia,Jolt Cola - Electric Blue,7,154.01,1078.07
Mauv,Rice - Jasmine Sented,12,210.05,2520.6
Blue,Crackers - Trio,1,2.77,2.77
Violet,"Orange - Canned, Mandarin",8,231,1848
Yellow,Ham - Cooked,14,147.71,2067.94
Indigo,Tray - 16in Rnd Blk,13,132.93,1728.09
Violet,Veal - Kidney,13,182.99,2378.87
Aquamarine,"Chicken - Diced, Cooked",10,247.09,2470.9
Blue,Capon - Whole,5,18.2,91
Fuscia,Mince Meat - Filling,13,191.19,2485.47
Pink,"Beans - Black Bean, Canned",3,251.1,753.3
Yellow,"Wine - Red, Pelee Island Merlot",11,423.71,4660.81
Green,Roe - White Fish,9,413.77,3723.93
Fuscia,Wine - Fontanafredda Barolo,8,178.22,1425.76
Orange,Parsnip,1,215.15,215.15
Pink,Huck White Towels,12,4.34,52.08
Puce,Cookie - Oreo 100x2,1,186.68,186.68
Aquamarine,Spinach - Baby,15,152.2,2283
Indigo,Rice - Brown,6,52.27,313.62
Red,Mushroom - Porcini Frozen,10,129.53,1295.3
Red,Soup - Campbells Chili Veg,8,338.81,2710.48
Khaki,Juice - Apple 284ml,6,328.91,1973.46
Crimson,Chicken - Wieners,12,273.19,3278.28
Pink,Pate - Cognac,6,35.52,213.12
Indigo,Yukon Jack,11,64.75,712.25
Crimson,Coconut - Whole,7,56.27,393.89
Fuscia,Beer - Sleemans Honey Brown,6,275.88,1655.28
Pink,Vol Au Vents,4,240.99,963.96
Goldenrod,Island Oasis - Ice Cream Mix,6,274.25,1645.5
Orange,Lady Fingers,2,429.41,858.82
Khaki,"Oregano - Dry, Rubbed",8,301.94,2415.52
Teal,Island Oasis - Sweet And Sour Mix,10,285.53,2855.3
Orange,Wine - Hardys Bankside Shiraz,14,398.54,5579.56
Goldenrod,Plums - Red,12,157.92,1895.04
Blue,Baking Powder,12,79.03,948.36
Puce,Lettuce - Belgian Endive,15,8.46,126.9
Khaki,Cabbage Roll,9,289.5,2605.5
Blue,Muskox - French Rack,14,187.93,2631.02
Teal,Flour Dark Rye,4,26.05,104.2
Purple,Kolrabi,15,258.8,3882
Aquamarine,Curry Paste - Green Masala,11,404.06,4444.66
Purple,Iced Tea Concentrate,2,277.28,554.56
Crimson,Aspic - Light,6,465.03,2790.18
Green,Sauce - Fish 25 Ozf Bottle,10,220.87,2208.7
Fuscia,Wanton Wrap,15,472.88,7093.2
Green,Myers Planters Punch,6,53.67,322.02
Maroon,V8 Splash Strawberry Kiwi,3,109.32,327.96
Red,Cheese - Shred Cheddar / Mozza,13,53.34,693.42
Green,"Chicken - Base, Ultimate",14,405.4,5675.6
Crimson,"Beans - Kidney, Canned",6,376.99,2261.94
Pink,Tomatoes Tear Drop Yellow,13,42.66,554.58
Khaki,Bar Bran Honey Nut,3,274.51,823.53
Crimson,Lid Tray - 16in Dome,7,16.11,112.77
Crimson,"Tart Shells - Barquettes, Savory",10,121.03,1210.3
Turquoise,Halibut - Steaks,6,230.8,1384.8
Purple,"Tomatoes - Cherry, Yellow",14,444.98,6229.72
Orange,Pork Loin Bine - In Frenched,14,94.35,1320.9
Khaki,"Rum - Dark, Bacardi, Black",8,43.7,349.6
Indigo,Rappini - Andy Boy,10,241.06,2410.6
Green,Snapple Raspberry Tea,13,88.92,1155.96
Pink,Pork Loin Cutlets,4,232.33,929.32
Puce,Bandage - Finger Cots,12,361.88,4342.56
Yellow,Beer - True North Lager,9,328.81,2959.29
Teal,Bacardi Breezer - Strawberry,5,140.94,704.7
Red,Wine - George Duboeuf Rose,12,333.01,3996.12
Indigo,"Veal - Round, Eye Of",14,71.79,1005.06
Purple,"Water - Mineral, Carbonated",15,497.13,7456.95
Purple,Mayonnaise,11,461.45,5075.95
Khaki,Cumin - Ground,12,399.91,4798.92
Blue,"Tart Shells - Savory, 2",8,402.85,3222.8
Goldenrod,Wine - Taylors Reserve,4,75.99,303.96
Red,"Beef - Tongue, Fresh",7,426.59,2986.13
Pink,Sprouts - Pea,15,459.53,6892.95
Khaki,Cheese - Brie,8,38.28,306.24
Maroon,Wine - Stoneliegh Sauvignon,7,473.82,3316.74
Orange,Soap - Mr.clean Floor Soap,12,71.95,863.4
Maroon,Carrots - Mini Red Organic,14,362.57,5075.98
Crimson,Cheese - Wine,8,59.8,478.4
Turquoise,Arctic Char - Fillets,9,123.82,1114.38
Puce,Extract - Raspberry,4,231.11,924.44
Blue,"Turnip - White, Organic",10,15.03,150.3
Khaki,Bread - Olive,5,103.92,519.6
Mauv,Lemon Grass,1,262.6,262.6
Crimson,Wine - Wyndham Estate Bin 777,13,185.87,2416.31
Puce,"Lemonade - Black Cherry, 591 Ml",5,336.49,1682.45
Fuscia,"Chicken - Diced, Cooked",15,474.68,7120.2
Purple,Paper Cocktail Umberlla 80 - 180,2,247.99,495.98
Mauv,Onion - Dried,6,106.87,641.22
Yellow,Juice - V8 Splash,4,188.49,753.96
Mauv,Capicola - Hot,1,115.3,115.3
Indigo,Table Cloth 54x72 White,7,292.1,2044.7
Pink,Juice Peach Nectar,8,12.09,96.72
Indigo,Tuna - Salad Premix,1,98.81,98.81
Blue,"Mushroom - Chanterelle, Dry",5,352.29,1761.45
Aquamarine,Cranberries - Fresh,3,49.27,147.81
Indigo,Ecolab - Medallion,14,66.03,924.42
Fuscia,Icecream - Dstk Super Cone,7,451.47,3160.29
Aquamarine,"Napkin - Cocktail,beige 2 - Ply",11,82.63,908.93
Purple,Chicken Giblets,2,66.13,132.26
Orange,"Mushroom - Enoki, Dry",15,207.84,3117.6
Aquamarine,Beer - Mill St Organic,11,188.15,2069.65
Purple,Quinoa,8,475.48,3803.84
Blue,Bar Nature Valley,6,238.11,1428.66
Green,Beef Flat Iron Steak,13,76.77,998.01
Purple,Scallops - U - 10,10,137.58,1375.8
Teal,Vanilla Beans,1,323.52,323.52
Red,Mustard - Seed,4,165.5,662
Red,Snapple - Mango Maddness,6,253.81,1522.86
Purple,Milk - Chocolate 500ml,7,341.08,2387.56
Indigo,Wine - Spumante Bambino White,4,31.94,127.76
Pink,Spice - Montreal Steak Spice,11,98.78,1086.58
Mauv,"Capon - Breast, Wing On",6,352.74,2116.44
Fuscia,Heavy Duty Dust Pan,4,171.77,687.08
Orange,Bread - Frozen Basket Variety,1,54.37,54.37
Violet,Sugar - Palm,10,300.92,3009.2
Indigo,Island Oasis - Mango Daiquiri,14,298.86,4184.04
Violet,Soup - Tomato Mush. Florentine,4,13.18,52.72
Goldenrod,Eggroll,15,122.49,1837.35
Orange,Corn Syrup,1,221.82,221.82
Red,Flower - Carnations,1,202.03,202.03
Mauv,"Bag - Bread, White, Plain",1,482.26,482.26
Crimson,Energy Drink - Franks Original,13,449.41,5842.33
Maroon,Bar Bran Honey Nut,8,339.92,2719.36
Orange,Cheese Cloth No 100,7,194.57,1361.99
Turquoise,Wine - Black Tower Qr,7,364.17,2549.19
Orange,Sprite - 355 Ml,3,436.95,1310.85
Mauv,Wine - Conde De Valdemar,5,1.68,8.4
Puce,Coffee Cup 8oz 5338cd,12,427.68,5132.16
Goldenrod,Mayonnaise - Individual Pkg,12,187.83,2253.96
Indigo,Table Cloth 54x54 White,6,242.75,1456.5
Orange,Juice - Ocean Spray Kiwi,2,424.23,848.46
Mauv,Oil - Sesame,8,66.24,529.92
Puce,Energy Drink - Franks Original,5,386.16,1930.8
Puce,Honey - Lavender,5,348.64,1743.2
Green,Peach - Halves,7,441.28,3088.96
Red,Pie Shells 10,11,357.52,3932.72
Turquoise,Buffalo - Short Rib Fresh,5,82.27,411.35
Yellow,Beer - Molson Excel,10,239.51,2395.1
Orange,"Pasta - Detalini, White, Fresh",8,130.25,1042
Red,"Pail - 15l White, With Handle",4,321.78,1287.12
Violet,Jagermeister,5,363.77,1818.85
Turquoise,Macaroons - Homestyle Two Bit,2,437.46,874.92
Violet,Lamb - Rack,11,438.03,4818.33
Teal,Vol Au Vents,2,318.54,637.08
Orange,Pumpkin,9,382.13,3439.17
Green,Pork - Caul Fat,8,448.98,3591.84
Khaki,Bread - 10 Grain Parisian,9,361.36,3252.24
Violet,Tarts Assorted,10,45.41,454.1
Khaki,Pork - Backs - Boneless,7,430.8,3015.6
Aquamarine,Sprouts Dikon,12,217.38,2608.56
Fuscia,Apple - Granny Smith,8,442.28,3538.24
Aquamarine,Muffin Puck Ww Carrot,7,467.42,3271.94
Teal,Wine - Cave Springs Dry Riesling,1,440.16,440.16
Purple,Tuna - Bluefin,2,402.7,805.4
Aquamarine,Cheese - Brick With Onion,10,467.44,4674.4
Yellow,Mortadella,8,194.36,1554.88
Blue,Chicken - Tenderloin,11,257.01,2827.11
Orange,Wine - Montecillo Rioja Crianza,9,282.37,2541.33
Pink,Wine - Gato Negro Cabernet,4,474.35,1897.4
Purple,Juice - Lime,4,304.33,1217.32
Khaki,Soup - Cream Of Potato / Leek,6,397.46,2384.76
Yellow,"Mustard - Dry, Powder",13,88.98,1156.74
Purple,Celery Root,7,30.89,216.23
Crimson,Salt And Pepper Mix - Black,5,277.92,1389.6
Blue,Honey - Liquid,13,9.89,128.57
Indigo,Plate Pie Foil,7,81.92,573.44
Crimson,Alize Gold Passion,2,174.54,349.08
Crimson,Gelatine Powder,11,386.06,4246.66
Crimson,Chives - Fresh,12,353.35,4240.2
Red,Tomato - Plum With Basil,3,441.08,1323.24
Purple,"Schnappes - Peach, Walkers",5,215.92,1079.6
Crimson,"Tart Shells - Sweet, 4",14,108.68,1521.52
Indigo,Wine - Casablanca Valley,8,434.67,3477.36
Green,Tomatoes - Cherry,15,216.49,3247.35
Green,Wine - Malbec Trapiche Reserve,9,227.74,2049.66
Teal,Grapes - Red,1,410.64,410.64
Teal,Cheese - St. Andre,9,232.59,2093.31
Yellow,Sauce - Marinara,9,11.5,103.5
Maroon,Yams,7,24.29,170.03
Yellow,Wine - Chateau Aqueria Tavel,15,238.93,3583.95
Green,"Water, Tap",3,306.33,918.99
Purple,Tomatoes Tear Drop Yellow,14,261.16,3656.24
Pink,"Bread - Bagels, Mini",14,306.19,4286.66
Khaki,Compound - Mocha,12,476.67,5720.04
Aquamarine,Ginger - Crystalized,3,414.93,1244.79
Red,"Beans - Black Bean, Dry",15,347.94,5219.1
Aquamarine,"Juice - Grape, White",15,30.83,462.45
Crimson,Table Cloth 62x120 White,4,279.66,1118.64
Purple,Pork - Ham Hocks - Smoked,10,283.87,2838.7
Yellow,Salt - Celery,9,247.35,2226.15
Indigo,"Juice - Apple, 1.36l",1,200.51,200.51
Fuscia,Mangoes,14,273.08,3823.12
Orange,"Juice - Apple, 500 Ml",14,331.1,4635.4
Green,Mussels - Frozen,1,14.61,14.61
Aquamarine,Wine - Maipo Valle Cabernet,1,344.19,344.19
Turquoise,"Lamb - Whole Head Off,nz",4,463.36,1853.44
Goldenrod,Sauce - Roasted Red Pepper,14,284.95,3989.3
Khaki,"Bag - Bread, White, Plain",2,8.61,17.22
Red,"Wine - White, Concha Y Toro",11,88.28,971.08
Teal,Bagelers,2,4.71,9.42
Turquoise,Scallop - St. Jaques,1,311.65,311.65
Maroon,Coffee - Almond Amaretto,8,251.72,2013.76
Orange,Melon - Honey Dew,2,491.45,982.9
Mauv,Clementine,4,288.72,1154.88
Aquamarine,Creamers - 10%,5,73.3,366.5
Blue,Fork - Plastic,13,72.29,939.77
Purple,Turkey Leg With Drum And Thigh,9,413.53,3721.77
Green,"Jam - Raspberry,jar",11,209.29,2302.19
Yellow,Wine - Chianti Classica Docg,13,367.39,4776.07
Teal,"Artichoke - Bottom, Canned",5,265.59,1327.95
Fuscia,Chocolate - Milk,11,16.45,180.95
Puce,Energy Drink - Franks Original,1,424.55,424.55
Turquoise,Wine - Sogrape Mateus Rose,10,222.5,2225
Green,Sugar - White Packet,8,309.77,2478.16
Teal,Cranberry Foccacia,12,331.73,3980.76
Teal,Ice Cream - Vanilla,1,353.91,353.91
Turquoise,Wine - Ej Gallo Sierra Valley,2,243.77,487.54
Pink,Okra,4,28.78,115.12
Mauv,Coffee - Cafe Moreno,4,290.4,1161.6
Teal,Wine La Vielle Ferme Cote Du,5,162.52,812.6
Purple,Crab - Meat Combo,5,129.8,649
Turquoise,Juice - Prune,13,444.33,5776.29
Pink,Ice Cream Bar - Rolo Cone,15,392.88,5893.2
Teal,Extract - Rum,4,403.27,1613.08
Fuscia,Bok Choy - Baby,11,351.86,3870.46
Maroon,Extract - Almond,12,398.03,4776.36
Puce,Ice Cream - Vanilla,13,314.44,4087.72
Blue,Bread - Crusty Italian Poly,2,405.26,810.52
Crimson,Chicken - Whole Roasting,12,217.91,2614.92
Pink,"Tart Shells - Barquettes, Savory",15,389.85,5847.75
Violet,Emulsifier,1,37.98,37.98
Crimson,Table Cloth 90x90 White,12,190.03,2280.36
Mauv,"Quail - Whole, Boneless",9,90.66,815.94
Goldenrod,Extract - Raspberry,6,73.93,443.58
Mauv,"Lid - High Heat, Super Clear",14,382.61,5356.54
Aquamarine,Isomalt,12,294.17,3530.04
Fuscia,Juice - Orange 1.89l,11,250.72,2757.92
Orange,Lemon Pepper,13,335.52,4361.76
Crimson,Clementine,2,360.68,721.36
Purple,Tea - Orange Pekoe,11,162.67,1789.37
Goldenrod,Wine - Mondavi Coastal Private,2,137.18,274.36
Blue,Pepper - Chilli Seeds Mild,7,433.27,3032.89
Indigo,Ecolab Silver Fusion,10,238.06,2380.6
Mauv,Sugar - Cubes,7,273.36,1913.52
Aquamarine,Chocolate - Chips Compound,12,151.53,1818.36
Turquoise,Sauerkraut,5,320.4,1602
Fuscia,"Schnappes - Peach, Walkers",10,79.22,792.2
Yellow,"Onions - Dried, Chopped",4,182.36,729.44
Puce,"Bag - Bread, White, Plain",12,202.49,2429.88
Teal,Yucca,8,130.36,1042.88
Mauv,"Pasta - Rotini, Dry",9,81.63,734.67
Pink,Milk - Buttermilk,10,76.36,763.6
Green,Rice - Sushi,5,23.09,115.45
Purple,Bacardi Raspberry,7,252.88,1770.16
Fuscia,Ecolab Crystal Fusion,5,78.2,391
Purple,Skewers - Bamboo,6,213.59,1281.54
Yellow,Russian Prince,6,292.19,1753.14
Orange,"Wine - White, Ej Gallo",13,104.18,1354.34
Goldenrod,"Vermouth - White, Cinzano",1,48.14,48.14
Mauv,Snapple - Mango Maddness,8,130.95,1047.6
Aquamarine,Guava,4,316.97,1267.88
Maroon,Straw - Regular,3,354.05,1062.15
Mauv,"Veal - Leg, Provimi - 50 Lb Max",5,368.39,1841.95
Goldenrod,Tea - Lemon Green Tea,2,471.28,942.56
Indigo,"Fish - Halibut, Cold Smoked",14,196,2744
Aquamarine,Soup - Campbells,8,172.83,1382.64
Orange,"Cheese - Havarti, Salsa",14,486.18,6806.52
Blue,"Soup - Knorr, Chicken Noodle",2,262.75,525.5
Turquoise,Easy Off Oven Cleaner,10,351.57,3515.7
Maroon,Sauce - Plum,1,269.88,269.88
Maroon,"Bread - Roll, Canadian Dinner",10,127.4,1274
Puce,Snails - Large Canned,1,179.2,179.2
Orange,Spinach - Packaged,9,183.67,1653.03
Violet,Yams,6,185.28,1111.68
Green,The Pop Shoppe - Black Cherry,5,404.63,2023.15
Khaki,Lettuce - Curly Endive,7,383.17,2682.19
Khaki,Sambuca - Opal Nera,14,166.61,2332.54
Maroon,Ice Cream Bar - Oreo Sandwich,4,120.67,482.68
Blue,Oil - Coconut,7,108.49,759.43
Orange,Beef - Tenderloin - Aa,3,452.48,1357.44
Orange,Cloves - Ground,5,44.24,221.2
Maroon,"Napkin - Cocktail,beige 2 - Ply",9,433.31,3899.79
Maroon,Fennel - Seeds,10,187.89,1878.9
Puce,Puree - Raspberry,14,290.72,4070.08
Pink,Irish Cream - Butterscotch,2,56.28,112.56
Yellow,Lettuce - Iceberg,4,167.4,669.6
Red,Wine - Tio Pepe Sherry Fino,11,190.93,2100.23
Crimson,"Pepper - Black, Crushed",6,188.89,1133.34
Orange,Creme De Menth - White,13,83.56,1086.28
Mauv,Bacardi Breezer - Strawberry,5,191.21,956.05
Red,V8 Pet,5,353.17,1765.85
Maroon,Soup - Campbells Beef Strogonoff,14,76.03,1064.42
Orange,Versatainer Nc - 8288,12,99.4,1192.8
Purple,Squash - Butternut,1,96.4,96.4
Pink,Coffee Cup 8oz 5338cd,4,6.03,24.12
Green,"Cup - 3.5oz, Foam",4,55.07,220.28
Mauv,"Nut - Pine Nuts, Whole",1,207.36,207.36
Indigo,Lumpfish Black,1,435.04,435.04
Yellow,Wine - Toasted Head,13,276.47,3594.11
Turquoise,Cheese - Swiss,15,375.76,5636.4
Orange,Beans - Soya Bean,14,398.75,5582.5
Red,Rice - Aborio,15,63.97,959.55
Yellow,Mikes Hard Lemonade,11,5.39,59.29
Green,Pastry - Baked Cinnamon Stick,15,186.77,2801.55
Indigo,"Cheese - Brie,danish",12,492.71,5912.52
Blue,Wine - Sogrape Mateus Rose,3,237.4,712.2
Violet,Cattail Hearts,8,325.71,2605.68
Purple,Strawberries - California,9,499.72,4497.48
Yellow,"Lobster - Baby, Boiled",4,397.79,1591.16
Pink,Egg - Salad Premix,4,192.41,769.64
Purple,Truffle Shells - White Chocolate,1,469.32,469.32
Teal,Lotus Rootlets - Canned,12,28.6,343.2
Goldenrod,Wine - Duboeuf Beaujolais,11,124.72,1371.92
Pink,Oil - Sesame,13,432.3,5619.9
Crimson,Bread - Onion Focaccia,10,365.05,3650.5
Aquamarine,Cake - Box Window 10x10x2.5,10,354.4,3544
Goldenrod,Yeast Dry - Fermipan,12,124.49,1493.88
Fuscia,Salmon Steak - Cohoe 8 Oz,14,490.87,6872.18
Crimson,Campari,13,371.16,4825.08
Maroon,Cheese - Mascarpone,7,388.29,2718.03
Blue,"Mushroom - Enoki, Fresh",7,97.91,685.37
Purple,Beef - Striploin,7,6.2,43.4
Blue,Foie Gras,5,434.96,2174.8
Purple,Pan Grease,13,429.97,5589.61
Green,Venison - Liver,5,15.39,76.95
Goldenrod,Appetizer - Crab And Brie,4,136.53,546.12
Red,Coffee Cup 8oz 5338cd,4,330.87,1323.48
Orange,"Soup - Cream Of Broccoli, Dry",9,5.55,49.95
Purple,Sproutsmustard Cress,12,13.83,165.96
Violet,"Cheese - Mozzarella, Shredded",9,124.79,1123.11
Yellow,Parsley - Fresh,9,383.72,3453.48
Aquamarine,Bread Cranberry Foccacia,15,331.19,4967.85
Maroon,Wine - Charddonnay Errazuriz,10,180.16,1801.6
Khaki,Pepper - Jalapeno,7,483.99,3387.93
Goldenrod,Versatainer Nc - 888,14,303.17,4244.38
Purple,Crab - Meat Combo,9,278.68,2508.12
Puce,Soup - French Onion,3,101.7,305.1
Teal,Coffee - French Vanilla Frothy,3,357.74,1073.22
Fuscia,Mix Pina Colada,9,260.22,2341.98
Red,"Crush - Grape, 355 Ml",5,235.03,1175.15
Red,Sprouts Dikon,9,334.14,3007.26
Maroon,Wine - Guy Sage Touraine,1,346.31,346.31
Aquamarine,Cut Wakame - Hanawakaba,12,481.89,5782.68
Mauv,Seaweed Green Sheets,5,211.29,1056.45
Blue,Nantucket - 518ml,1,315.86,315.86
Puce,"Wine - White, Mosel Gold",10,363.16,3631.6
Fuscia,Juice Peach Nectar,6,403.67,2422.02
Green,Sugar - Fine,9,201.81,1816.29
Turquoise,Soup Campbells - Italian Wedding,11,490.79,5398.69
Orange,Lamb Shoulder Boneless Nz,5,282.49,1412.45
Aquamarine,Wine - Cousino Macul Antiguas,1,443.78,443.78
Teal,Oil - Cooking Spray,5,374.9,1874.5
Fuscia,Chef Hat 25cm,14,163.01,2282.14
Khaki,Wine - Rosso Del Veronese Igt,7,277.16,1940.12
Orange,Syrup - Monin - Blue Curacao,13,259.91,3378.83
Aquamarine,Scallops - 20/30,8,135.82,1086.56
Goldenrod,Beef - Top Butt,7,445.49,3118.43
Turquoise,Oyster - In Shell,5,53.55,267.75
Teal,Spinach - Packaged,3,417.99,1253.97
Fuscia,"Stock - Beef, White",13,184.22,2394.86
Purple,"Cheese - Havarti, Roasted Garlic",3,201.66,604.98
Khaki,Cape Capensis - Fillet,2,110.65,221.3
Goldenrod,Crawfish,15,198.43,2976.45
Orange,Chocolate Liqueur - Godet White,4,329.06,1316.24
Blue,Cheese - Camembert,11,142.71,1569.81
Purple,Pork - Bacon Cooked Slcd,12,254.98,3059.76
Red,"Beans - Navy, Dry",8,258.55,2068.4
Crimson,Squash - Sunburst,1,378.22,378.22
